,interaction,type,Model,Target,Accuracy,1.0_Precision,1.0_Recall,1.0_F1-Score,2.0_Precision,2.0_Recall,2.0_F1-Score,3.0_Precision,3.0_Recall,3.0_F1-Score,4.0_Precision,4.0_Recall,4.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
48,DelinquentPeer_x_NeighborConnect,train_metrics,logistic_regression,AST,0.4512388082741587,0.476822776481847,0.6153133683235567,0.5372872788542544,0.35286154771753026,0.3621488113615313,0.35744486344417786,0.3780710925248301,0.2232942266131522,0.28076475155279507,0.5529810680983329,0.6041988267983945,0.577456476836825,0.44018412120563505,0.45123880827415863,0.4382383426720131,0.4401841212056351,0.4512388082741587,0.4382383426720131
49,DelinquentPeer_x_NeighborConnect,test_metrics,logistic_regression,AST,0.5356708059410762,0.08582089552238806,0.6052631578947368,0.1503267973856209,0.16531440162271804,0.3221343873517787,0.21849865951742628,0.14692982456140352,0.23426573426573427,0.18059299191374664,0.9037106622827619,0.5940104970669959,0.7168405365126677,0.32544394599731785,0.4389184441448114,0.31656474633236537,0.7449019333428838,0.5356708059410762,0.6076165697026994
50,DelinquentPeer_x_ParentalWarmth,train_metrics,logistic_regression,AST,0.45280179067613463,0.4800479328939485,0.618400740969435,0.5405113674694731,0.355779427359491,0.3625347329422661,0.3591253153910849,0.38021778584392013,0.22638159925903056,0.28379293662312527,0.5502883668589112,0.6038900895338067,0.5758445572974167,0.4415833782390677,0.4528017906761346,0.439818544195275,0.44158337823906774,0.45280179067613463,0.439818544195275
51,DelinquentPeer_x_ParentalWarmth,test_metrics,logistic_regression,AST,0.5349403457511566,0.08082706766917293,0.5657894736842105,0.14144736842105263,0.16700819672131148,0.3221343873517787,0.21997300944669365,0.139186295503212,0.22727272727272727,0.17264276228419656,0.9033771106941839,0.5946279715961716,0.7171848817724819,0.32259966764697007,0.427456139976222,0.3128120054811062,0.7442159110631169,0.5349403457511566,0.6073518395067874
52,DelinquentPeer_x_Is_Male,train_metrics,logistic_regression,AST,0.45349644952145723,0.4789391575663027,0.6160852114850263,0.5389237728715144,0.35642548200278573,0.37527014510651435,0.36560514343722983,0.3864353312302839,0.22692188947205927,0.28593658821240997,0.5548925156373571,0.595708552022229,0.574576586636888,0.4441731216091823,0.4534964495214572,0.44126052278951056,0.4441731216091824,0.45349644952145723,0.44126052278951056
53,DelinquentPeer_x_Is_Male,test_metrics,logistic_regression,AST,0.5286096907718529,0.08458646616541353,0.5921052631578947,0.14802631578947367,0.1629268292682927,0.3300395256916996,0.21815806662312215,0.1390728476821192,0.2202797202797203,0.17050067658998647,0.9041487839771102,0.5853658536585366,0.7106446776611693,0.3226837317732339,0.43194759069696276,0.31183243416593787,0.7443833194003587,0.5286096907718529,0.6019428502947561
54,DelinquentPeer_x_Race_1.0,train_metrics,logistic_regression,AST,0.4500424513738808,0.47034177290955886,0.6065143562828034,0.5298182921484678,0.35481184220489137,0.36168570546464957,0.3582158009402591,0.38078902229845624,0.2227539364001235,0.2810810810810811,0.5507640778731422,0.6092158073479469,0.5785172426430167,0.4391766788215122,0.45004245137388077,0.4369081042032062,0.4391766788215122,0.4500424513738808,0.4369081042032062
55,DelinquentPeer_x_Race_1.0,test_metrics,logistic_regression,AST,0.5439493547601656,0.08695652173913043,0.6052631578947368,0.15206611570247933,0.17280163599182005,0.3339920948616601,0.22776280323450138,0.1480637813211845,0.22727272727272727,0.1793103448275862,0.9042110134197131,0.603272615004631,0.7237037037037035,0.328008238117962,0.4424501487584388,0.3207107418670676,0.7463189767198307,0.5439493547601656,0.6141134789741981
56,DelinquentPeer_x_Race_2.0,train_metrics,logistic_regression,AST,0.4512002161160852,0.47591487309338637,0.6092929916640939,0.5344074738516738,0.3570237914835581,0.36369249768447054,0.36032729219239884,0.3764886669227814,0.22692188947205927,0.2831687936431495,0.5507378777231202,0.6048934856437171,0.5765467520047083,0.44004130230571153,0.45120021611608524,0.4386125779229826,0.44004130230571153,0.4512002161160852,0.43861257792298264
57,DelinquentPeer_x_Race_2.0,test_metrics,logistic_regression,AST,0.5400535670805942,0.08901515151515152,0.618421052631579,0.1556291390728477,0.167853509664293,0.32608695652173914,0.2216252518468771,0.15198237885462554,0.24125874125874125,0.1864864864864865,0.9042950513538749,0.5980240815066379,0.7199405314997213,0.32828652284698623,0.4459477079796743,0.32092035222648313,0.7460865982695173,0.5400535670805942,0.6109551275059139
58,DelinquentPeer_x_Race_3.0,train_metrics,logistic_regression,AST,0.4546735103426984,0.48139507059105047,0.6211021920345786,0.5423968724723645,0.3581060833083608,0.36894103118246374,0.3634428223844282,0.38267339888386925,0.22229083050324175,0.28122253686163456,0.5519179429534916,0.6063599876505095,0.5778595071717544,0.443523123934193,0.45467351034269843,0.4412304347225454,0.443523123934193,0.4546735103426984,0.44123043472254536
