type,interaction,Model,Target,Accuracy,1.0_Precision,1.0_Recall,1.0_F1-Score,4.0_Precision,4.0_Recall,4.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
train_metrics,DelinquentPeer_x_Race_2.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,DelinquentPeer_x_Race_2.0,random_forest,AST,0.206875753920386,0.025983667409057165,0.9210526315789473,0.05054151624548737,0.9903536977491961,0.19012345679012346,0.3190056965302952,0.5081686825791266,0.5555880441845354,0.18477360638789128,0.9682511276931495,0.206875753920386,0.31285271773004025
train_metrics,DelinquentPeer_x_Race_3.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,DelinquentPeer_x_Race_3.0,random_forest,AST,0.11640530759951749,0.02369826435246996,0.9342105263157895,0.046223958333333336,0.984375,0.09722222222222222,0.17696629213483145,0.504036632176235,0.5157163742690059,0.1115951252340824,0.9623570772288262,0.11640530759951749,0.17396978508751124
train_metrics,DelinquentPeer_x_Race_4.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,DelinquentPeer_x_Race_4.0,random_forest,AST,0.13872135102533173,0.0242984257357974,0.9342105263157895,0.047364909939959975,0.9873096446700508,0.12006172839506173,0.21408915795266922,0.505804035202924,0.5271361273554256,0.1307270339463146,0.9652382174568411,0.13872135102533173,0.21026797494634658
train_metrics,DelinquentPeer_x_Race_5.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,DelinquentPeer_x_Race_5.0,random_forest,AST,0.2059710494571773,0.026306039273805114,0.9342105263157895,0.05117117117117117,0.9918962722852512,0.18888888888888888,0.31734508685506874,0.5091011557795282,0.5615497076023392,0.18425812901311994,0.9697657361848683,0.2059710494571773,0.3112445990408419
train_metrics,DelinquentPeer_x_Race_nan,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,DelinquentPeer_x_Race_nan,random_forest,AST,0.18154402895054284,0.02690100430416069,0.9868421052631579,0.05237430167597765,0.9981060606060606,0.1626543209876543,0.279723991507431,0.5125035324551106,0.574748213125406,0.16604914659170433,0.9758468373615055,0.18154402895054284,0.2745133231035738
train_metrics,SchoolConnect_x_NeighborConnect,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,SchoolConnect_x_NeighborConnect,random_forest,AST,0.2705066344993969,0.028191703584373742,0.9210526315789473,0.054708870652598676,0.992797118847539,0.2552469135802469,0.40608887797692117,0.5104944112159564,0.5881497725795971,0.23039887431475992,0.9706891539621348,0.2705066344993969,0.39803553643390294
train_metrics,SchoolConnect_x_ParentalWarmth,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,SchoolConnect_x_ParentalWarmth,random_forest,AST,0.25060313630880576,0.027461749705766966,0.9210526315789473,0.05333333333333333,0.9921773142112125,0.23487654320987655,0.3798352882455703,0.5098195319584897,0.5779645873944119,0.2165843107894518,0.9700668247955267,0.25060313630880576,0.37235213125723193
train_metrics,SchoolConnect_x_Is_Male,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,SchoolConnect_x_Is_Male,random_forest,AST,0.14897466827503017,0.025570145127850726,0.9736842105263158,0.04983164983164983,0.995260663507109,0.12962962962962962,0.22938285090114688,0.5104154043174799,0.5516569200779727,0.13960725036639834,0.9730361522294179,0.14897466827503017,0.22526768465226818
train_metrics,SchoolConnect_x_Race_1.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,SchoolConnect_x_Race_1.0,random_forest,AST,0.2861881785283474,0.029568788501026694,0.9473684210526315,0.05734767025089606,0.9954597048808173,0.27067901234567904,0.4256248483377822,0.5125142466909219,0.6090237166991552,0.24148625929433912,0.9733222773642719,0.28618817852834744,0.4171842375010502
train_metrics,SchoolConnect_x_Race_2.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,SchoolConnect_x_Race_2.0,random_forest,AST,0.17310012062726177,0.025960170697012803,0.9605263157894737,0.05055401662049861,0.9940476190476191,0.15462962962962962,0.26762820512820507,0.5100038948723159,0.5575779727095517,0.15909111087435185,0.9718598488200418,0.17310012062726177,0.2626530427860502
train_metrics,SchoolConnect_x_Race_3.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,SchoolConnect_x_Race_3.0,random_forest,AST,0.23281061519903498,0.027565084226646247,0.9473684210526315,0.05357142857142857,0.9943181818181818,0.21604938271604937,0.3549695740365112,0.510941633022414,0.5817089018843404,0.20427050130396987,0.9721609938154807,0.23281061519903498,0.3480617757689158
train_metrics,SchoolConnect_x_Race_4.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,SchoolConnect_x_Race_4.0,random_forest,AST,0.2322074788902292,0.02754399387911247,0.9473684210526315,0.05353159851301115,0.9943019943019943,0.2154320987654321,0.3541349568746829,0.5109229940905534,0.5814002599090318,0.20383327769384701,0.9721446939304204,0.2322074788902292,0.34724537447556136
