type,interaction,Model,Target,Accuracy,1.0_Precision,1.0_Recall,1.0_F1-Score,4.0_Precision,4.0_Recall,4.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
train_metrics,DelinquentPeer_x_ParentalWarmth,logistic_regression,AST,0.8265148591277499,0.8229993891264509,0.8319567734465457,0.8274538405435492,0.8301076947089121,0.8210729448089541,0.8255656020800186,0.8265535419176815,0.8265148591277499,0.8265097213117839,0.8265535419176815,0.8265148591277499,0.8265097213117839
test_metrics,DelinquentPeer_x_ParentalWarmth,logistic_regression,AST,0.847708082026538,0.10642201834862386,0.7631578947368421,0.18679549114331725,0.9935041501263082,0.8496913580246913,0.9159873565130594,0.5499630842374661,0.8064246263807667,0.5513914238281883,0.9731729553087256,0.847708082026538,0.8992748770896273
train_metrics,DelinquentPeer_x_Is_Male,logistic_regression,AST,0.8189116171362408,0.8147809523809524,0.825472790428406,0.8200920245398773,0.823152131403989,0.8123504438440756,0.8177156177156177,0.8189665418924708,0.8189116171362408,0.8189038211277475,0.8189665418924708,0.8189116171362408,0.8189038211277474
test_metrics,DelinquentPeer_x_Is_Male,logistic_regression,AST,0.8398673100120627,0.10157618213660245,0.7631578947368421,0.1792890262751159,0.9934426229508196,0.8416666666666667,0.9112781954887218,0.547509402543711,0.8024122807017544,0.5452836108819188,0.9730017756945227,0.8398673100120627,0.8945016041557199
train_metrics,DelinquentPeer_x_Race_1.0,logistic_regression,AST,0.825627170976457,0.8226879828654479,0.8301813971439599,0.826417704011065,0.8286203941730934,0.8210729448089541,0.8248294044665013,0.8256541885192706,0.825627170976457,0.8256235542387831,0.8256541885192705,0.825627170976457,0.8256235542387832
test_metrics,DelinquentPeer_x_Race_1.0,logistic_regression,AST,0.8471049457177322,0.10603290676416818,0.7631578947368421,0.18619582664526482,0.9934994582881906,0.8490740740740741,0.9156265601597603,0.5497661825261794,0.8061159844054582,0.5509111934025126,0.9731594528853481,0.8471049457177322,0.8989086060743859
train_metrics,DelinquentPeer_x_Race_2.0,logistic_regression,AST,0.8267078348128136,0.8240067365842456,0.8308761096101891,0.8274271658082867,0.8294543473184401,0.822539560015438,0.8259824819781413,0.8267305419513429,0.8267078348128136,0.826704823893214,0.8267305419513429,0.8267078348128136,0.8267048238932141
test_metrics,DelinquentPeer_x_Race_2.0,logistic_regression,AST,0.8465018094089264,0.10564663023679417,0.7631578947368421,0.1856,0.9934947596675099,0.8484567901234568,0.9152655235558514,0.549570694952152,0.8058073424301495,0.5504327617779257,0.973146008812041,0.8465018094089264,0.8985421882753192
train_metrics,DelinquentPeer_x_Race_3.0,logistic_regression,AST,0.8270937861829409,0.8243894970527444,0.8312620609803165,0.8278115151049275,0.8298435432396668,0.8229255113855655,0.8263700488334237,0.8271165201462056,0.827093786182941,0.8270907819691755,0.8271165201462056,0.8270937861829409,0.8270907819691756
test_metrics,DelinquentPeer_x_Race_3.0,logistic_regression,AST,0.8486127864897467,0.1070110701107011,0.7631578947368421,0.18770226537216828,0.9935111751982696,0.8506172839506173,0.9165281010974393,0.5502611226544853,0.8068875893437297,0.5521151832348038,0.973193319955008,0.8486127864897467,0.8998240107732173
train_metrics,DelinquentPeer_x_Race_4.0,logistic_regression,AST,0.8262446931686608,0.823944201732199,0.8297954457738325,0.8268594723482809,0.8285780922024412,0.822693940563489,0.8256255325741731,0.82626114696732,0.8262446931686607,0.826242502461227,0.82626114696732,0.8262446931686608,0.8262425024612271
test_metrics,DelinquentPeer_x_Race_4.0,logistic_regression,AST,0.8443908323281062,0.10431654676258993,0.7631578947368421,0.18354430379746836,0.9934782608695653,0.8462962962962963,0.914,0.5488974038160775,0.8047270955165693,0.5487721518987342,0.9730994037308047,0.8443908323281062,0.8972585546105573
train_metrics,DelinquentPeer_x_Race_5.0,logistic_regression,AST,0.8244693168660748,0.8221813443703533,0.8280200694712466,0.8250903776632567,0.8267900178807432,0.8209185642609031,0.823843829886126,0.8244856811255483,0.8244693168660748,0.8244671037746913,0.8244856811255483,0.8244693168660748,0.8244671037746915
test_metrics,DelinquentPeer_x_Race_5.0,logistic_regression,AST,0.8522316043425814,0.10943396226415095,0.7631578947368421,0.19141914191419143,0.9935391241923905,0.854320987654321,0.9186856953202789,0.5514865432282707,0.8087394411955815,0.5550524186172352,0.9732761590818519,0.8522316043425814,0.9020173424677872
train_metrics,DelinquentPeer_x_Race_nan,logistic_regression,AST,0.8286375916634504,0.8262202130104973,0.8323427248166732,0.8292701684226716,0.8310910646239987,0.8249324585102277,0.8280003099093516,0.828655638817248,0.8286375916634504,0.8286352391660117,0.828655638817248,0.8286375916634504,0.8286352391660117
test_metrics,DelinquentPeer_x_Race_nan,logistic_regression,AST,0.8519300361881785,0.10922787193973635,0.7631578947368421,0.19110378912685339,0.9935368043087971,0.8540123456790123,0.91850622406639,0.5513823381242667,0.8085851202079273,0.5548050065966217,0.9732691689469006,0.8519300361881785,0.9018347569206105
train_metrics,SchoolConnect_x_NeighborConnect,logistic_regression,AST,0.8290235430335777,0.8261534929986992,0.8334233886530297,0.8297725176759914,0.8319445526049373,0.8246236974141258,0.8282679485191502,0.8290490228018182,0.8290235430335777,0.8290202330975708,0.8290490228018181,0.8290235430335777,0.8290202330975707
test_metrics,SchoolConnect_x_NeighborConnect,logistic_regression,AST,0.8528347406513872,0.10984848484848485,0.7631578947368421,0.19205298013245034,0.9935437589670014,0.8549382716049383,0.9190444591904445,0.5516961219077431,0.8090480831708902,0.5555487196614475,0.9732901881488448,0.8528347406513872,0.9023824108163772
train_metrics,SchoolConnect_x_ParentalWarmth,logistic_regression,AST,0.8265534542647627,0.8243999693275056,0.829872636047858,0.827127250346207,0.8287357215012822,0.8232342724816674,0.8259758364312267,0.8265678454143939,0.8265534542647627,0.826551543388717,0.8265678454143939,0.8265534542647627,0.826551543388717
test_metrics,SchoolConnect_x_ParentalWarmth,logistic_regression,AST,0.8465018094089264,0.10564663023679417,0.7631578947368421,0.1856,0.9934947596675099,0.8484567901234568,0.9152655235558514,0.549570694952152,0.8058073424301495,0.5504327617779257,0.973146008812041,0.8465018094089264,0.8985421882753192
train_metrics,SchoolConnect_x_Is_Male,logistic_regression,AST,0.8255113855654188,0.8242848354352507,0.8274025472790428,0.8258407488732231,0.8267472493413917,0.8236202238517947,0.8251807741386644,0.8255160423883212,0.8255113855654188,0.8255107615059438,0.8255160423883211,0.8255113855654188,0.8255107615059438
test_metrics,SchoolConnect_x_Is_Male,logistic_regression,AST,0.8468033775633294,0.10583941605839416,0.7631578947368421,0.1858974358974359,0.9934971098265896,0.8487654320987654,0.9154460719041277,0.5496682629424918,0.8059616634178037,0.5506717539007818,0.9731527236002979,0.8468033775633294,0.8987254155903435
train_metrics,SchoolConnect_x_Race_1.0,logistic_regression,AST,0.8281744500192976,0.8257105646211599,0.8319567734465457,0.8288219009535528,0.8306758963988489,0.8243921265920494,0.8275220827522083,0.8281932305100044,0.8281744500192976,0.8281719918528805,0.8281932305100043,0.8281744500192976,0.8281719918528805
test_metrics,SchoolConnect_x_Race_1.0,logistic_regression,AST,0.8525331724969843,0.10964083175803403,0.7631578947368421,0.19173553719008266,0.9935414424111948,0.8546296296296296,0.9188651070184172,0.5515911370846144,0.8088937621832359,0.55530032210425,0.9732831654480946,0.8525331724969843,0.9021998937171646
train_metrics,SchoolConnect_x_Race_2.0,logistic_regression,AST,0.8269008104978772,0.8249194414607949,0.8299498263218834,0.8274269883412212,0.8289064926995962,0.823851794673871,0.8263714141922496,0.8269129670801956,0.8269008104978772,0.8268992012667353,0.8269129670801955,0.8269008104978772,0.8268992012667353
test_metrics,SchoolConnect_x_Race_2.0,logistic_regression,AST,0.8510253317249699,0.10861423220973783,0.7631578947368421,0.19016393442622953,0.9935298346513299,0.8530864197530864,0.9179674526735304,0.5510720334305339,0.8081221572449643,0.55406569354988,0.9732482949090016,0.8510253317249699,0.9012867930273317
train_metrics,SchoolConnect_x_Race_3.0,logistic_regression,AST,0.8278656889231957,0.8257535087046552,0.8311076804322656,0.8284219435254289,0.8300054385828607,0.8246236974141258,0.8273058158444977,0.827879473643758,0.8278656889231957,0.8278638796849633,0.827879473643758,0.8278656889231957,0.8278638796849632
test_metrics,SchoolConnect_x_Race_3.0,logistic_regression,AST,0.8495174909529554,0.10760667903525047,0.7631578947368421,0.1886178861788618,0.9935181850918257,0.8515432098765432,0.9170683064650158,0.550562432063538,0.8073505523066926,0.5528430963219388,0.9732138200555471,0.8495174909529554,0.900372820354718
train_metrics,SchoolConnect_x_Race_4.0,logistic_regression,AST,0.8270551910459282,0.8247738770504369,0.8305673485140872,0.8276604745971308,0.8293687810945274,0.8235430335777691,0.8264456408071575,0.8270713290724822,0.8270551910459282,0.8270530577021442,0.827071329072482,0.8270551910459282,0.8270530577021441
test_metrics,SchoolConnect_x_Race_4.0,logistic_regression,AST,0.8489143546441495,0.10720887245841035,0.7631578947368421,0.18800648298217176,0.9935135135135135,0.850925925925926,0.9167082294264339,0.5503611929859619,0.8070419103313841,0.5523573562043028,0.9732001381455436,0.8489143546441495,0.9000069831267464
train_metrics,SchoolConnect_x_Race_5.0,logistic_regression,AST,0.8277499035121575,0.8258133824432167,0.8307217290621381,0.8282602839881479,0.8297095822332661,0.8247780779621767,0.8272364804707157,0.8277614823382413,0.8277499035121574,0.8277483822294318,0.8277614823382413,0.8277499035121575,0.8277483822294318
test_metrics,SchoolConnect_x_Race_5.0,logistic_regression,AST,0.8489143546441495,0.10720887245841035,0.7631578947368421,0.18800648298217176,0.9935135135135135,0.850925925925926,0.9167082294264339,0.5503611929859619,0.8070419103313841,0.5523573562043028,0.9732001381455436,0.8489143546441495,0.9000069831267464
train_metrics,SchoolConnect_x_Race_nan,logistic_regression,AST,0.827672713238132,0.825287356321839,0.8313392512543419,0.8283022495673908,0.8300933125972006,0.824006175221922,0.8270385434824714,0.8276903344595199,0.827672713238132,0.8276703965249311,0.8276903344595198,0.827672713238132,0.8276703965249311
test_metrics,SchoolConnect_x_Race_nan,logistic_regression,AST,0.8489143546441495,0.10720887245841035,0.7631578947368421,0.18800648298217176,0.9935135135135135,0.850925925925926,0.9167082294264339,0.5503611929859619,0.8070419103313841,0.5523573562043028,0.9732001381455436,0.8489143546441495,0.9000069831267464
train_metrics,NeighborConnect_x_ParentalWarmth,logistic_regression,AST,0.82693940563489,0.8258828960529353,0.8285604013894249,0.8272194821208384,0.8280027878881747,0.8253184098803551,0.8266584196690893,0.826942841970555,0.82693940563489,0.8269389508949638,0.826942841970555,0.82693940563489,0.8269389508949639
test_metrics,NeighborConnect_x_ParentalWarmth,logistic_regression,AST,0.8537394451145959,0.1089866156787763,0.75,0.19031719532554256,0.9931972789115646,0.8561728395061728,0.9196088181667497,0.5510919472951704,0.8030864197530865,0.5549630067461461,0.9729318957976648,0.8537394451145959,0.9028940523838994
train_metrics,NeighborConnect_x_Is_Male,logistic_regression,AST,0.8273253570050174,0.8262676002154343,0.8289463527595523,0.8276048088779284,0.8283899945791063,0.8257043612504824,0.827044997680532,0.8273287973972703,0.8273253570050174,0.8273249032792303,0.8273287973972704,0.8273253570050174,0.8273249032792301
test_metrics,NeighborConnect_x_Is_Male,logistic_regression,AST,0.8455971049457177,0.10507246376811594,0.7631578947368421,0.18471337579617833,0.9934876989869754,0.8475308641975309,0.9147235176548969,0.5492800813775457,0.8053443794671865,0.5497184467255376,0.9731259505320197,0.8455971049457177,0.8979922840055415
train_metrics,NeighborConnect_x_Race_1.0,logistic_regression,AST,0.8272481667309919,0.8253395748599494,0.8301813971439599,0.8277534056799816,0.8291792841059088,0.8243149363180239,0.826739955097933,0.8272594294829291,0.8272481667309919,0.8272466803889573,0.8272594294829291,0.8272481667309919,0.8272466803889572
test_metrics,NeighborConnect_x_Race_1.0,logistic_regression,AST,0.8486127864897467,0.1070110701107011,0.7631578947368421,0.18770226537216828,0.9935111751982696,0.8506172839506173,0.9165281010974393,0.5502611226544853,0.8068875893437297,0.5521151832348038,0.973193319955008,0.8486127864897467,0.8998240107732173
