Model,Interaction_Term,Score
Decision Tree,ParentalWarmth_x_Is_Male,0.7098826097763944
AdaBoost,PolygenicScoreEXT_x_Age,0.7584148681314327
AdaBoost,PolygenicScoreEXT_x_DelinquentPeer,0.7602403282574473
AdaBoost,PolygenicScoreEXT_x_SchoolConnect,0.7542285049371908
AdaBoost,PolygenicScoreEXT_x_NeighborConnect,0.7536911166589213
AdaBoost,PolygenicScoreEXT_x_ParentalWarmth,0.7607239964407555
AdaBoost,PolygenicScoreEXT_x_Is_Male,0.7542278132621485
AdaBoost,Age_x_DelinquentPeer,0.7511683472208712
AdaBoost,Age_x_SchoolConnect,0.7547113805761798
AdaBoost,Age_x_NeighborConnect,0.7548186622572384
AdaBoost,Age_x_ParentalWarmth,0.75433595953701
AdaBoost,Age_x_Is_Male,0.751597142517481
AdaBoost,DelinquentPeer_x_SchoolConnect,0.7547654753284555
AdaBoost,DelinquentPeer_x_NeighborConnect,0.7523491517974545
AdaBoost,DelinquentPeer_x_ParentalWarmth,0.7507385864611816
AdaBoost,DelinquentPeer_x_Is_Male,0.7556235990878536
AdaBoost,SchoolConnect_x_NeighborConnect,0.7551410116467991
AdaBoost,SchoolConnect_x_ParentalWarmth,0.7515974307154153
AdaBoost,SchoolConnect_x_Is_Male,0.7546577757603923
AdaBoost,NeighborConnect_x_ParentalWarmth,0.7564834520348576
AdaBoost,NeighborConnect_x_Is_Male,0.7551941409359949
AdaBoost,ParentalWarmth_x_Is_Male,0.7627104295229964
Extra Trees,PolygenicScoreEXT_x_Age,0.8222469351950921
Extra Trees,PolygenicScoreEXT_x_DelinquentPeer,0.8210657847809875
Extra Trees,PolygenicScoreEXT_x_SchoolConnect,0.8205827218133415
Extra Trees,PolygenicScoreEXT_x_NeighborConnect,0.8202605021128511
Extra Trees,PolygenicScoreEXT_x_ParentalWarmth,0.8216563599880399
Extra Trees,PolygenicScoreEXT_x_Is_Male,0.8220858325497952
Extra Trees,Age_x_DelinquentPeer,0.8221933447892014
Extra Trees,Age_x_SchoolConnect,0.8213878171528204
Extra Trees,Age_x_NeighborConnect,0.8218708945303635
Extra Trees,Age_x_ParentalWarmth,0.8209048262346579
Extra Trees,Age_x_Is_Male,0.821710036853311
Extra Trees,DelinquentPeer_x_SchoolConnect,0.8200457081923865
Extra Trees,DelinquentPeer_x_NeighborConnect,0.8201530331031351
Extra Trees,DelinquentPeer_x_ParentalWarmth,0.8204752239838321
Extra Trees,DelinquentPeer_x_Is_Male,0.823964652523353
Extra Trees,SchoolConnect_x_NeighborConnect,0.8209048838742449
Extra Trees,SchoolConnect_x_ParentalWarmth,0.8192941744390045
Extra Trees,SchoolConnect_x_Is_Male,0.8240723376815197
Extra Trees,NeighborConnect_x_ParentalWarmth,0.8223006552900533
Extra Trees,NeighborConnect_x_Is_Male,0.8214417245764392
Extra Trees,ParentalWarmth_x_Is_Male,0.8249311675258568
XGBoost,PolygenicScoreEXT_x_Age,0.8481774722879674
XGBoost,PolygenicScoreEXT_x_DelinquentPeer,0.8482312356126187
XGBoost,PolygenicScoreEXT_x_SchoolConnect,0.8486608955030315
XGBoost,PolygenicScoreEXT_x_NeighborConnect,0.8486071177684833
XGBoost,PolygenicScoreEXT_x_ParentalWarmth,0.8481235360445554
XGBoost,PolygenicScoreEXT_x_Is_Male,0.8468352768681531
XGBoost,Age_x_DelinquentPeer,0.8493049170170073
XGBoost,Age_x_SchoolConnect,0.8491974624171881
XGBoost,Age_x_NeighborConnect,0.8478016477716895
XGBoost,Age_x_ParentalWarmth,0.8475332634453343
XGBoost,Age_x_Is_Male,0.8490369505776567
XGBoost,DelinquentPeer_x_SchoolConnect,0.8496809000421489
XGBoost,DelinquentPeer_x_NeighborConnect,0.8493584065536212
XGBoost,DelinquentPeer_x_ParentalWarmth,0.8489290492710394
XGBoost,DelinquentPeer_x_Is_Male,0.8483925544063663
XGBoost,SchoolConnect_x_NeighborConnect,0.8501640782889689
XGBoost,SchoolConnect_x_ParentalWarmth,0.8453317770644878
XGBoost,SchoolConnect_x_Is_Male,0.846674231862443
XGBoost,NeighborConnect_x_ParentalWarmth,0.8491976641557422
XGBoost,NeighborConnect_x_Is_Male,0.8499496157961287
XGBoost,ParentalWarmth_x_Is_Male,0.8460839160335318
LightGBM,PolygenicScoreEXT_x_Age,0.8450100473004859
LightGBM,PolygenicScoreEXT_x_DelinquentPeer,0.8433457762791484
LightGBM,PolygenicScoreEXT_x_SchoolConnect,0.8462985946748226
LightGBM,PolygenicScoreEXT_x_NeighborConnect,0.8452250141397112
LightGBM,PolygenicScoreEXT_x_ParentalWarmth,0.8467279519574042
LightGBM,PolygenicScoreEXT_x_Is_Male,0.8458153011488291
LightGBM,Age_x_DelinquentPeer,0.8458692085724475
LightGBM,Age_x_SchoolConnect,0.8437218601735672
LightGBM,Age_x_NeighborConnect,0.845224970910021
LightGBM,Age_x_ParentalWarmth,0.8461375208493193
LightGBM,Age_x_Is_Male,0.8451175163102018
LightGBM,DelinquentPeer_x_SchoolConnect,0.8444727743013903
LightGBM,DelinquentPeer_x_NeighborConnect,0.8448490455244663
LightGBM,DelinquentPeer_x_ParentalWarmth,0.8452784028070479
LightGBM,DelinquentPeer_x_Is_Male,0.8460840457226023
LightGBM,SchoolConnect_x_NeighborConnect,0.8426477897019673
LightGBM,SchoolConnect_x_ParentalWarmth,0.8439897401535374
LightGBM,SchoolConnect_x_Is_Male,0.8438828043100001
LightGBM,NeighborConnect_x_ParentalWarmth,0.8443659825568199
LightGBM,NeighborConnect_x_Is_Male,0.8435604261006459
LightGBM,ParentalWarmth_x_Is_Male,0.842003580859334
