type,interaction,Model,Target,Accuracy,1.0_Precision,1.0_Recall,1.0_F1-Score,2.0_Precision,2.0_Recall,2.0_F1-Score,3.0_Precision,3.0_Recall,3.0_F1-Score,4.0_Precision,4.0_Recall,4.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
train_metrics,PolygenicScoreEXT_x_Race_2.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,PolygenicScoreEXT_x_Race_2.0,random_forest,AST,0.19868517165814464,0.02223345123799899,0.5789473684210527,0.04282238442822384,0.12914798206278028,0.2845849802371542,0.17766810610734118,0.14285714285714285,0.16433566433566432,0.15284552845528454,0.8494152046783626,0.17937635072553257,0.29620188631149635,0.2859134452090712,0.3018110909298509,0.16738447632558648,0.6961654765104004,0.19868517165814464,0.26692629505916915
train_metrics,PolygenicScoreEXT_x_Race_3.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,PolygenicScoreEXT_x_Race_3.0,random_forest,AST,0.19600681762843924,0.020722635494155154,0.5131578947368421,0.03983656792645557,0.1370767960363336,0.32806324110671936,0.19336051252184042,0.1293800539083558,0.16783216783216784,0.14611872146118723,0.8584758942457231,0.17042297005248533,0.28438948995363217,0.2864138449211419,0.2948690684320537,0.16592632296577886,0.7033216206407664,0.19600681762843924,0.25902009028394835
train_metrics,PolygenicScoreEXT_x_Race_4.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,PolygenicScoreEXT_x_Race_4.0,random_forest,AST,0.17287557828098368,0.021547502448579822,0.5789473684210527,0.041548630783758256,0.12556458897922312,0.274703557312253,0.1723496590204588,0.11421319796954314,0.15734265734265734,0.1323529411764706,0.8546099290780141,0.14881136153133684,0.25348409150670526,0.2789838046188401,0.28995123615182494,0.14993383062184823,0.6978134470690421,0.17287557828098368,0.23113088311921273
train_metrics,PolygenicScoreEXT_x_Race_5.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,PolygenicScoreEXT_x_Race_5.0,random_forest,AST,0.1964937910883857,0.01873767258382643,0.5,0.03612167300380228,0.13404050144648022,0.274703557312253,0.18016850291639663,0.12535612535612536,0.15384615384615385,0.13814756671899528,0.8480463096960926,0.18092003704847176,0.2982188295165394,0.28154515227063115,0.2773674370517196,0.1631641430389334,0.6944052607269992,0.1964937910883857,0.26767750243722654
train_metrics,PolygenicScoreEXT_x_Race_nan,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,PolygenicScoreEXT_x_Race_nan,random_forest,AST,0.19454589724859994,0.020813165537270088,0.5657894736842105,0.040149393090569564,0.12909632571996027,0.25691699604743085,0.17184401850627892,0.13450292397660818,0.16083916083916083,0.1464968152866242,0.838150289017341,0.17906761346094474,0.2950903078097176,0.28064067606279486,0.29065331100793673,0.16339513367329755,0.6866669500315583,0.19454589724859994,0.26484052189109086
