Race,Sex,Age,DelinquentPeer,SchoolConnect,NeighborConnect,ParentalWarmth,AntisocialTrajectory,InFamilyCluster
4.0,-0.5,0.438863251929273,0.4039846608037881,0.0042742841394331895,-0.2507283924786133,-1.8029947475779067,4.0,0
1.0,-0.5,0.390398649102458,-0.17210737437347995,-1.002914332561726,0.09081228437173566,-0.6174042312814116,2.0,0
2.0,0.5,-1.40279165548962,0.4039846608037881,-0.7977154312969625,-0.6120334618006379,0.5735122155391363,4.0,0
1.0,-0.5,-0.142711981992483,0.4039846608037881,0.0070461590822758526,0.36130506932202405,0.6370782486414711,4.0,0
1.0,0.5,-1.01507483287512,0.4039846608037881,0.6120649195336744,0.5419576039830362,-1.4179157290899733,4.0,0
1.0,0.5,-0.724287215914238,0.4039846608037881,0.9850022439266702,0.5726098503934692,0.5735122155391363,4.0,0
1.0,0.5,0.875044677370589,0.4039846608037881,-0.3875372724267726,-0.5279898101292754,-0.1270712432521272,4.0,0
1.0,0.5,-0.43349959895336,0.4039846608037881,0.9963226871483792,0.7532623850544765,0.6370782486414711,4.0,0
3.0,0.5,-0.288105790472922,-0.596015339196212,-0.01108557321211349,-1.368695197094491,-0.11326989565382035,2.0,0
4.0,0.5,1.11736769150465,-0.013496674440934355,-0.20132242516488363,-0.973338531122662,0.380787608025274,4.0,0
4.0,-0.5,0.971973883024213,-1.6388582004799548,0.018984054002874947,0.18065253466101208,-1.3532654787867664,2.0,0
1.0,-0.5,-0.0457827763388576,-0.17210737437347995,0.007898480790760618,0.18065253466101208,0.6370782486414711,4.0,0
1.0,-0.5,0.535792457582897,-1.4843212921644797,-1.562049094777661,0.5419576039830362,0.6370782486414711,1.0,0
1.0,0.5,-1.30586244983599,-0.7529050854726295,-1.3613615307506242,-0.24195702748187378,0.1289070322505206,4.0,0
4.0,0.5,0.0511464293147689,-1.066839956919754,-1.1635534804073928,0.0,0.6370782486414711,4.0,0
1.0,0.5,0.196540237795208,0.4039846608037881,0.20519890126476348,0.36130506932202405,-0.6335686921711219,4.0,0
1.0,-0.5,0.0026818264879566,-1.0803366313606866,1.1900913233617703,-0.4511453196113005,0.6370782486414711,2.0,0
1.0,-0.5,0.0996110321415811,-0.22545065685230037,-0.4222084661814995,0.18065253466101208,-0.1270712432521272,4.0,0
4.0,-0.5,-2.56594212333313,0.19203067839242238,-0.42916221287306405,-0.4511453196113005,-0.1270712432521272,4.0,0
2.0,-0.5,1.02043848585103,-0.03341997845987773,-0.7979350749562996,0.18065253466101208,-0.6022386964398305,4.0,0
1.0,0.5,1.40815530846553,0.21195398241136576,-0.6005248326526281,-1.2876263118019486,0.5735122155391363,4.0,0
1.0,0.5,0.487327854756085,-0.19203067839242308,0.0035317842606169417,0.36130506932202405,-0.42648778446086366,4.0,0
1.0,-0.5,-1.01507483287512,0.4039846608037881,0.9920484030089513,0.7532623850544765,0.5735122155391363,4.0,0
1.0,-0.5,-0.724287215914238,-1.2883254880835908,-1.5502384311256867,-0.8145668778753411,0.6370782486414711,4.0,0
3.0,-0.5,1.94126593956047,-2.1328926506404056,-0.007898480790760642,0.15000028825058132,0.1289070322505206,2.0,0
1.0,0.5,-1.3543270526628,0.4039846608037881,0.2017943482727731,0.5726098503934692,0.6370782486414711,4.0,0
1.0,0.5,-0.43349959895336,0.03749377007694536,0.38436758944437693,-0.30114503136071924,0.17278355974703127,4.0,0
2.0,0.5,-1.6935792724505,0.4039846608037881,-1.1821754331320518,-0.30114503136071924,-1.2799847090733816,4.0,0
1.0,0.5,-0.43349959895336,0.0,1.1900913233617703,0.044620040264191516,0.6370782486414711,4.0,0
2.0,-0.5,0.632721663236524,-0.17210737437347995,0.21213523851737082,0.18065253466101208,0.3690094765406035,4.0,0
3.0,0.5,-0.385034996126547,-0.23894733129323456,-0.39824026394959083,-1.3497558491580064,-0.24542740250887216,4.0,0
2.0,-0.5,-1.54818546397006,-0.17446021233442047,-0.20519890126476314,0.09081228437173566,-0.04623413348336388,2.0,0
1.0,-0.5,-1.79050847810412,-0.4174813352447231,-0.3998198591866341,-0.5964934641035244,-0.42648778446086366,4.0,0
1.0,-0.5,1.3112261028119,0.19203067839242238,0.3798736616456076,0.36130506932202405,-0.40072865579210426,4.0,0
1.0,-0.5,-0.336570393299734,-1.2588706353121757,0.2172466180150311,0.7532623850544765,-0.07652339649662791,3.0,0
1.0,-0.5,0.971973883024213,0.0,1.1900913233617703,-0.6624501006827432,0.5735122155391363,4.0,0
1.0,0.5,-1.30586244983599,-0.34656758670790005,0.40324182161758343,0.5419576039830362,0.14270837984882706,4.0,0
2.0,0.5,-0.191176584819295,-0.19203067839242308,-0.7976056094672941,-0.5124498124321619,-0.42648778446086366,2.0,0
